time,value
1/1/2001,13754
2/1/2001,16764
3/1/2001,18651
4/1/2001,14694
5/1/2001,16285
6/1/2001,12987
7/1/2001,12192
8/1/2001,11177
9/1/2001,8690
10/1/2001,4726
11/1/2001,4329
12/1/2001,4226
1/1/2002,7431
2/1/2002,8624
3/1/2002,9354
4/1/2002,11189
5/1/2002,12375
6/1/2002,10398
7/1/2002,10969
8/1/2002,9261
9/1/2002,9864
10/1/2002,8405
11/1/2002,6983
12/1/2002,5720
1/1/2003,10898
2/1/2003,12827
3/1/2003,16161
4/1/2003,10997
5/1/2003,19334
6/1/2003,18593
7/1/2003,17202
8/1/2003,17014
9/1/2003,16110
10/1/2003,15705
11/1/2003,13553
12/1/2003,10125
1/1/2004,13953
2/1/2004,18375
3/1/2004,21313
4/1/2004,20839
5/1/2004,20073
6/1/2004,17626
7/1/2004,20026
8/1/2004,17403
9/1/2004,17517
10/1/2004,18763
11/1/2004,15555
12/1/2004,9775
1/1/2005,16695
2/1/2005,22222
3/1/2005,23836
4/1/2005,24153
5/1/2005,20294
6/1/2005,19039
7/1/2005,18974
8/1/2005,18785
9/1/2005,19486
10/1/2005,16015
11/1/2005,19756
12/1/2005,12902
1/1/2006,20241
2/1/2006,23569
3/1/2006,23529
4/1/2006,18855
5/1/2006,16184
6/1/2006,12414
7/1/2006,11202
8/1/2006,12623
9/1/2006,12895
10/1/2006,11548
11/1/2006,10602
12/1/2006,5683
1/1/2007,10917
2/1/2007,11317
3/1/2007,12050
4/1/2007,11523
5/1/2007,11382
6/1/2007,10339
7/1/2007,10120
8/1/2007,11394
9/1/2007,8206
10/1/2007,6702
11/1/2007,5815
12/1/2007,3441
1/1/2008,8594
2/1/2008,10151
3/1/2008,8786
4/1/2008,10415
5/1/2008,8982
6/1/2008,7400
7/1/2008,7185
8/1/2008,6053
9/1/2008,5793
10/1/2008,6162
11/1/2008,4892
12/1/2008,2973
1/1/2009,5431
2/1/2009,5771
3/1/2009,6380
4/1/2009,6286
5/1/2009,5182
6/1/2009,6317
7/1/2009,5425
8/1/2009,5668
9/1/2009,5739
10/1/2009,5039
11/1/2009,4183
12/1/2009,3026
1/1/2010,4305
2/1/2010,5345
3/1/2010,6981
4/1/2010,6277
5/1/2010,6716
6/1/2010,6052
7/1/2010,6583
8/1/2010,6306
9/1/2010,4743
10/1/2010,4409
11/1/2010,4706
12/1/2010,3379
1/1/2011,4043
2/1/2011,4647
3/1/2011,6182
4/1/2011,5620
5/1/2011,7582
6/1/2011,5535
7/1/2011,4813
8/1/2011,4769
9/1/2011,5135
10/1/2011,4936
11/1/2011,4666
12/1/2011,3274
1/1/2012,4865
2/1/2012,6258
3/1/2012,8927
4/1/2012,7245
5/1/2012,7814
6/1/2012,7731
7/1/2012,6379
8/1/2012,5952
9/1/2012,8148
10/1/2012,6877
11/1/2012,5775
12/1/2012,3672
1/1/2013,5810
2/1/2013,7425
3/1/2013,7326
4/1/2013,7999
5/1/2013,7704
6/1/2013,6736
7/1/2013,7239
8/1/2013,7493
9/1/2013,5794
10/1/2013,7203
11/1/2013,5729
12/1/2013,4444
1/1/2014,5834
2/1/2014,7371
3/1/2014,9334
4/1/2014,7212
5/1/2014,9535
6/1/2014,9504
7/1/2014,9445
8/1/2014,8196
9/1/2014,10446
10/1/2014,10233
11/1/2014,11643
12/1/2014,9061
1/1/2015,16601
2/1/2015,13747
3/1/2015,16218
4/1/2015,15551
5/1/2015,16984
6/1/2015,16748
7/1/2015,15792
8/1/2015,14823
9/1/2015,13681
10/1/2015,15055
11/1/2015,13798
12/1/2015,12165
1/1/2016,9242
2/1/2016,10438
3/1/2016,12749
4/1/2016,13585
5/1/2016,13582
6/1/2016,11986
7/1/2016,11685
8/1/2016,12555
9/1/2016,13329
10/1/2016,14374
11/1/2016,14038
12/1/2016,9807
